,n,scheduler,st_1,st_2,st_3,wt_1,wt_2,wt_3,tat_1,tat_2,tat_3
270,135001,rr,1.2,5.2,7.2,68041.0,2531.0,2283.8,211053.1,3384.4,3021.0
271,135001,fcfs,0.8,19337.9,21095.3,0.8,19337.9,21095.3,19329.0,21093.4,22523.3
272,136001,rr,1.1,5.7,8.2,46367.3,778.6,806.4,175570.7,1042.7,1047.0
273,136001,fcfs,0.8,13636.6,15209.1,0.8,13636.6,15209.1,13633.5,15207.8,17154.5
274,137001,rr,0.8,4.4,6.6,27087.8,718.5,847.2,102989.9,971.8,1125.9
275,137001,fcfs,0.7,20634.2,21848.8,0.7,20634.2,21848.8,20624.8,21847.2,22993.9
276,138001,rr,1.4,5.8,8.1,60157.1,942.3,1065.8,199490.1,1386.0,1386.4
277,138001,fcfs,0.9,21170.1,22758.2,0.9,21170.1,22758.2,21160.9,22756.9,24230.5
278,139001,rr,1.4,16.7,19.0,36343.4,1161.5,1127.2,139178.7,1541.9,1507.2
279,139001,fcfs,1.0,18859.9,20426.2,1.0,18859.9,20426.2,18851.0,20424.4,22258.8
280,140001,rr,0.9,4.3,6.5,42736.0,898.5,996.2,153171.5,1158.5,1246.2
281,140001,fcfs,1.0,19091.4,20654.7,1.0,19091.4,20654.7,19085.1,20653.4,21957.2
282,141001,rr,0.8,4.1,6.3,37844.5,871.1,851.1,138710.6,1108.3,1105.4
283,141001,fcfs,0.7,16293.3,17584.0,0.7,16293.3,17584.0,16283.3,17582.5,19239.7
284,142001,rr,1.9,6.5,10.4,44377.7,1172.4,1085.9,165109.6,1485.4,1614.6
285,142001,fcfs,1.1,18219.0,19921.1,1.1,18219.0,19921.1,18210.9,19920.0,21584.3
286,143001,rr,1.2,5.4,7.6,20658.3,829.6,1040.4,80077.6,1194.5,1298.3
287,143001,fcfs,0.8,21114.7,22758.8,0.8,21114.7,22758.8,21107.8,22757.9,24933.0
288,144001,rr,1.3,6.1,8.5,47353.7,1065.8,1199.4,169473.0,1456.6,1601.8
289,144001,fcfs,1.0,17531.3,19163.0,1.0,17531.3,19163.0,17522.5,19149.1,20351.5
290,145001,rr,1.4,5.7,7.9,53273.3,1737.4,1264.8,186507.6,2499.3,1649.5
291,145001,fcfs,1.2,17622.3,18958.9,1.2,17622.3,18958.9,17619.2,18958.1,20379.6
292,146001,rr,0.8,4.4,6.6,26150.2,648.2,584.9,96169.2,942.4,947.2
293,146001,fcfs,0.7,12777.9,13945.1,0.7,12777.9,13945.1,12775.1,13943.8,15619.2
294,147001,rr,15.7,19.7,21.9,27120.0,1328.4,1453.3,98000.5,1733.1,1866.4
295,147001,fcfs,1.0,9080.7,10533.1,1.0,9080.7,10533.1,9077.8,10532.3,12431.2
296,148001,rr,1.7,5.7,8.4,22685.3,713.1,908.4,87072.0,1087.2,1508.6
297,148001,fcfs,1.0,18596.6,19794.2,1.0,18596.6,19794.2,18593.2,19791.4,21177.7
298,149001,rr,0.9,4.2,6.4,42839.1,645.7,747.1,164806.1,1017.3,1021.0
299,149001,fcfs,1.1,14813.0,16141.1,1.1,14813.0,16141.1,14809.9,16140.3,18009.4
300,150001,rr,0.9,4.9,7.1,25353.4,993.3,936.7,91149.5,1308.5,1310.7
301,150001,fcfs,0.8,20117.7,21626.1,0.8,20117.7,21626.1,20114.1,21625.1,23290.7
302,151001,rr,1.0,5.9,8.2,47280.9,935.0,902.2,166452.6,1213.5,1225.0
303,151001,fcfs,0.9,13678.5,15118.5,0.9,13678.5,15118.5,13675.3,15117.6,16861.0
304,152001,rr,1.1,5.5,7.7,46975.7,1343.8,1307.9,168944.4,1711.7,1685.0
305,152001,fcfs,0.7,19125.5,20788.1,0.7,19125.5,20788.1,19118.0,20787.0,22555.9
306,153001,rr,0.9,4.4,6.6,35990.4,975.2,1064.0,140114.1,1383.2,1390.3
307,153001,fcfs,0.9,18015.5,19417.2,0.9,18015.5,19417.2,18008.4,19416.1,21104.1
308,154001,rr,0.9,4.0,6.3,39881.9,829.9,1092.5,141913.5,1101.8,1469.9
309,154001,fcfs,0.8,20515.2,22334.7,0.8,20515.2,22334.7,20506.8,22333.5,24163.3
310,155001,rr,0.9,5.0,7.2,42589.2,834.7,808.6,158792.7,1201.3,1198.9
311,155001,fcfs,0.8,15537.1,16840.1,0.8,15537.1,16840.1,15534.2,16839.0,18884.8
312,156001,rr,1.2,5.8,7.9,49253.8,963.3,1019.7,178141.3,1371.3,1365.9
313,156001,fcfs,1.1,22583.6,26206.3,1.1,22583.6,26206.3,22574.6,26204.0,27934.1
314,157001,rr,1.3,4.4,6.6,67295.6,734.3,839.0,232192.5,1149.9,1339.1
315,157001,fcfs,1.1,15565.0,17411.5,1.1,15565.0,17411.5,15559.1,17334.3,18989.5
316,158001,rr,1.1,5.3,8.4,39832.4,1001.6,1030.4,146036.2,1294.1,1378.5
317,158001,fcfs,0.9,17332.9,18777.1,0.9,17332.9,18777.1,17323.9,18775.9,20353.6
318,159001,rr,0.8,4.0,6.2,46999.5,882.0,875.3,169933.0,1134.3,1141.6
319,159001,fcfs,0.9,19816.1,21154.1,0.9,19816.1,21154.1,19811.4,21153.3,22631.3
320,160001,rr,0.8,4.4,6.6,23010.4,1034.1,857.2,86573.9,1383.4,1100.8
321,160001,fcfs,0.9,12470.1,13920.3,0.9,12470.1,13920.3,12467.1,13919.2,15439.6
322,161001,rr,1.3,5.8,7.9,39263.7,904.1,864.7,144374.3,1249.0,1110.2
323,161001,fcfs,0.9,22322.7,23756.5,0.9,22322.7,23756.5,22314.3,23755.4,25551.2
324,162001,rr,0.8,4.3,6.5,46167.1,727.6,661.1,159140.9,955.4,956.3
325,162001,fcfs,1.1,24268.1,25866.1,1.1,24268.1,25866.1,24259.5,25864.2,27251.4
326,163001,rr,1.1,5.2,7.6,44298.5,832.1,781.3,160716.3,1160.6,1027.0
327,163001,fcfs,1.1,33763.1,35315.6,1.1,33763.1,35315.6,33756.4,35314.7,37328.8
328,164001,rr,0.8,4.2,6.4,34721.1,936.5,916.1,122828.5,1137.7,1151.3
329,164001,fcfs,0.9,19579.0,20954.7,0.9,19579.0,20954.7,19571.4,20952.8,22174.7
330,165001,rr,1.3,6.2,20.0,40299.4,1019.0,1003.3,148669.7,1299.9,1305.1
331,165001,fcfs,0.9,15889.1,17151.6,0.9,15889.1,17151.6,15885.7,17150.7,18802.2
332,166001,rr,1.0,5.5,7.6,78958.4,1177.9,1265.5,246935.9,1590.4,1735.0
333,166001,fcfs,0.9,17309.9,18894.9,0.9,17309.9,18894.9,17306.1,18894.2,20999.4
334,167001,rr,1.0,4.4,6.6,28705.7,1161.2,1132.7,103729.2,1507.4,1503.3
335,167001,fcfs,1.0,19262.0,20603.6,1.0,19262.0,20603.6,19252.7,20602.4,21723.3
336,168001,rr,0.9,4.5,6.8,40046.2,749.9,1005.1,150140.0,1057.8,1274.6
337,168001,fcfs,0.8,24349.8,25768.1,0.8,24349.8,25768.1,24343.4,25766.9,27600.0
338,169001,rr,1.2,5.9,8.4,35797.3,1451.1,1380.4,123653.0,1954.6,1949.2
339,169001,fcfs,0.9,21336.6,22778.2,0.9,21336.6,22778.2,21333.2,22777.1,24483.5
340,170001,rr,1.0,5.4,7.5,27720.6,953.2,972.1,103049.6,1284.7,1282.1
341,170001,fcfs,0.7,16634.9,17963.9,0.7,16634.9,17963.9,16627.8,17961.7,19282.6
342,171001,rr,0.8,4.2,6.4,37498.7,741.4,934.4,142934.5,988.1,1261.8
343,171001,fcfs,0.7,16489.0,17646.7,0.7,16489.0,17646.7,16481.0,17644.9,19457.9
344,172001,rr,1.1,5.4,8.1,35599.9,1239.9,1250.2,126412.4,1596.9,1591.5
345,172001,fcfs,0.8,20130.2,21519.0,0.8,20130.2,21519.0,20126.3,21518.2,22950.2
346,173001,rr,1.3,6.0,8.0,47318.2,983.9,1157.7,180387.2,1308.0,1600.2
347,173001,fcfs,0.9,24835.9,27403.3,0.9,24835.9,27403.3,24826.0,27401.3,28974.0
348,174001,rr,1.1,4.8,6.9,31120.3,948.3,965.4,114483.0,1232.2,1240.4
349,174001,fcfs,0.9,20779.1,22259.6,0.9,20779.1,22259.6,20772.6,22258.4,24284.3
350,175001,rr,0.8,4.1,6.3,64345.8,714.8,672.4,229665.4,918.9,924.6
351,175001,fcfs,0.8,39268.2,40666.4,0.8,39268.2,40666.4,39263.6,40665.3,42684.5
352,176001,rr,0.9,4.1,6.3,37293.1,954.0,880.4,139948.2,1226.3,1222.4
353,176001,fcfs,0.9,21867.1,23179.0,0.9,21867.1,23179.0,21864.4,23178.0,25105.0
354,177001,rr,1.3,5.4,7.9,45985.7,798.4,866.9,174450.2,1177.6,1181.2
355,177001,fcfs,0.8,15675.3,17120.0,0.8,15675.3,17120.0,15670.2,17119.1,18757.2
356,178001,rr,1.2,5.6,7.8,68073.5,11351.3,11318.9,198528.2,13961.4,13962.3
357,178001,fcfs,1.1,25320.0,26807.5,1.1,25320.0,26807.5,25311.2,26806.6,28558.3
358,179001,rr,1.1,5.4,7.5,58326.2,1006.9,793.0,197979.9,1300.0,1066.2
359,179001,fcfs,1.2,38269.2,72335.3,1.2,38269.2,72335.3,38260.4,72333.0,73541.4
360,180001,rr,0.8,4.2,6.5,33378.9,650.1,791.1,126031.3,1058.7,1054.5
361,180001,fcfs,0.8,17861.0,19324.0,0.8,17861.0,19324.0,17852.2,19323.0,21392.8
362,181001,rr,1.3,5.6,7.8,42533.6,1200.8,1134.1,154912.7,1561.2,1461.4
363,181001,fcfs,1.2,28454.0,29856.4,1.2,28454.0,29856.4,28439.5,29855.4,31466.9
364,182001,rr,1.1,5.4,7.7,49313.4,1005.4,986.6,177406.4,1277.7,1274.0
365,182001,fcfs,0.8,22230.6,23544.0,0.8,22230.6,23544.0,22227.1,23543.2,25080.0
366,183001,rr,0.8,4.0,6.3,26188.5,951.7,841.3,99237.8,1233.3,1097.7
367,183001,fcfs,0.8,22527.0,23815.3,0.8,22527.0,23815.3,22523.2,23813.6,25038.0
368,184001,rr,1.2,6.3,9.0,42407.6,1285.3,1232.2,155417.7,1738.2,1580.5
369,184001,fcfs,0.9,21268.5,22544.4,0.9,21268.5,22544.4,21260.5,22543.1,23956.3
370,185001,rr,1.2,6.5,8.8,67226.2,1912.6,1632.9,223904.4,2453.8,2250.3
371,185001,fcfs,1.2,29615.4,30926.4,1.2,29615.4,30926.4,29584.7,30925.3,32167.8
372,186001,rr,1.4,5.8,8.0,44180.3,983.9,1000.3,157779.8,1405.4,1385.2
373,186001,fcfs,0.8,29214.3,31224.2,0.8,29214.3,31224.2,29206.8,31222.6,32728.4
374,187001,rr,1.3,5.6,8.0,54555.9,1039.6,950.4,189612.1,1318.1,1325.7
375,187001,fcfs,0.7,18074.1,19738.2,0.7,18074.1,19738.2,18071.3,19737.3,21201.6
376,188001,rr,1.4,5.6,7.7,57485.6,1259.3,1178.3,206110.3,1668.9,1504.8
377,188001,fcfs,0.7,19202.0,20268.8,0.7,19202.0,20268.8,19199.2,20267.9,22032.2
378,189001,rr,1.3,7.5,9.8,43494.0,1195.6,1326.5,162186.9,1582.2,1761.4
379,189001,fcfs,0.8,14838.1,16340.5,0.8,14838.1,16340.5,14829.4,16338.4,17984.5
380,190001,rr,1.0,5.7,8.0,37594.4,767.8,823.0,140881.2,1014.4,1145.1
381,190001,fcfs,0.8,36041.8,37757.8,0.8,36041.8,37757.8,36034.6,37756.2,39354.5
382,191001,rr,0.9,4.2,6.4,30233.7,917.9,1058.5,114390.5,1255.2,1453.9
383,191001,fcfs,0.8,34901.6,36272.3,0.8,34901.6,36272.3,34894.3,36270.8,37920.6
384,192001,rr,1.4,5.9,8.2,37401.6,994.5,911.7,137556.3,1290.9,1201.1
385,192001,fcfs,0.7,18701.4,20143.9,0.7,18701.4,20143.9,18691.4,20141.5,21546.3
386,193001,rr,1.1,5.4,7.6,58529.1,1075.4,1008.5,213512.8,1470.8,1281.2
387,193001,fcfs,1.0,21054.9,22336.4,1.0,21054.9,22336.4,21051.4,22335.6,24126.2
388,194001,rr,1.2,5.8,8.2,42690.4,704.0,685.7,156188.3,1052.2,1057.4
389,194001,fcfs,0.9,30629.6,32711.8,0.9,30629.6,32711.8,30621.7,32709.5,34385.1
390,195001,rr,0.9,4.7,6.9,46728.5,1111.3,1143.0,175850.0,1520.0,1514.0
391,195001,fcfs,0.8,24637.5,25872.7,0.8,24637.5,25872.7,24634.4,25871.8,27550.0
392,196001,rr,0.9,4.6,7.2,42784.3,1644.3,1584.5,161542.5,2113.4,2000.8
393,196001,fcfs,0.8,24249.9,25913.3,0.8,24249.9,25913.3,24242.0,25912.0,27534.6
394,197001,rr,1.4,6.4,8.7,54745.1,814.6,879.1,195023.5,1147.0,1151.5
395,197001,fcfs,1.0,24482.1,26050.7,1.0,24482.1,26050.7,24475.2,26049.3,27347.1
396,198001,rr,0.8,4.1,6.3,58338.0,1343.8,1142.6,211526.5,1911.6,1432.5
397,198001,fcfs,0.8,27091.7,28477.2,0.8,27091.7,28477.2,27084.7,28476.3,30149.2
398,199001,rr,0.9,4.8,6.9,29469.2,951.0,1018.8,112834.2,1200.5,1448.4
399,199001,fcfs,0.9,20080.5,21820.6,0.9,20080.5,21820.6,20077.4,21819.6,23274.7
400,200001,rr,1.3,5.7,8.2,52467.3,839.0,849.7,187200.8,1154.3,1150.2
401,200001,fcfs,0.8,24590.5,26022.2,0.8,24590.5,26022.2,24587.7,26021.3,27575.5
402,201001,rr,0.9,4.4,6.6,55943.4,869.8,927.4,202698.7,1218.4,1224.0
403,201001,fcfs,1.0,26274.3,27449.8,1.0,26274.3,27449.8,26265.0,27448.0,28900.4
404,202001,rr,1.5,7.4,9.5,43374.8,1688.8,1509.2,152852.7,2207.7,2065.2
405,202001,fcfs,0.8,16652.1,17957.0,0.8,16652.1,17957.0,16649.1,17956.1,19612.3
406,203001,rr,1.5,5.6,7.8,54648.0,1321.8,1431.7,182049.9,1707.9,1844.6
407,203001,fcfs,1.0,27490.7,28734.7,1.0,27490.7,28734.7,27487.8,28733.8,30314.8
408,204001,rr,1.3,5.5,8.3,42600.4,1214.9,1184.4,146595.5,1553.6,1548.1
409,204001,fcfs,0.8,39155.9,40504.7,0.8,39155.9,40504.7,39153.2,40503.8,42570.5
410,205001,rr,1.3,5.6,8.1,35136.8,1012.0,1073.8,130505.1,1379.9,1351.2
411,205001,fcfs,0.9,25671.4,26998.2,0.9,25671.4,26998.2,25660.5,26984.6,28327.3
412,206001,rr,1.0,6.1,8.8,39779.6,821.9,1401.3,154826.7,1210.1,1879.3
413,206001,fcfs,0.7,16450.9,17777.7,0.7,16450.9,17777.7,16447.1,17777.0,19030.0
414,207001,rr,0.8,5.0,7.1,38637.6,811.9,931.7,138807.8,1055.8,1220.5
415,207001,fcfs,1.1,22870.7,24692.3,1.1,22870.7,24692.3,22865.6,24691.3,26167.9
416,208001,rr,2.2,8.6,10.7,35134.2,1201.8,1073.9,130611.9,1543.6,1545.7
417,208001,fcfs,0.8,29055.0,30809.9,0.8,29055.0,30809.9,29045.7,30808.9,32412.7
418,209001,rr,1.0,5.1,7.4,29353.7,880.9,805.7,110262.5,1156.0,1124.5
419,209001,fcfs,0.8,24009.3,25344.2,0.8,24009.3,25344.2,24006.1,25343.1,26790.9
420,210001,rr,0.8,4.4,6.6,34528.8,830.2,811.8,131183.8,1130.1,1117.5
421,210001,fcfs,0.7,34569.6,36587.2,0.7,34569.6,36587.2,34561.7,36586.2,38439.6
422,211001,rr,0.8,4.1,6.3,71915.5,1148.8,1141.2,245959.6,1509.5,1507.0
423,211001,fcfs,0.9,26640.5,27920.6,0.9,26640.5,27920.6,26631.5,27919.3,29213.1
424,212001,rr,1.6,6.3,8.5,60023.0,816.8,795.6,221715.2,1039.1,1033.3
425,212001,fcfs,0.8,37304.6,38854.7,0.8,37304.6,38854.7,37297.8,38853.0,40503.1
426,213001,rr,1.1,6.6,8.7,46624.4,788.8,753.9,164474.5,1158.2,1005.1
427,213001,fcfs,0.7,25554.3,27223.5,0.7,25554.3,27223.5,25551.2,27222.5,28852.1
428,214001,rr,1.0,5.9,8.1,34159.2,1005.9,926.9,128869.3,1307.1,1188.0
429,214001,fcfs,2.2,43496.6,45211.6,2.2,43496.6,45211.6,43490.3,45210.6,46791.8
430,215001,rr,1.7,6.0,8.3,51955.9,1208.8,1258.7,194241.4,1642.8,1623.3
431,215001,fcfs,0.9,17654.5,19016.4,0.9,17654.5,19016.4,17651.3,19015.5,20425.0
432,216001,rr,1.0,5.3,7.3,45632.4,966.2,1100.3,164753.9,1372.9,1507.4
433,216001,fcfs,0.9,24018.7,25475.3,0.9,24018.7,25475.3,24010.6,25474.0,27348.1
434,217001,rr,0.8,4.1,6.3,52151.2,756.0,885.1,193924.1,1170.5,1216.8
435,217001,fcfs,0.9,43169.8,44494.2,0.9,43169.8,44494.2,43162.1,44493.3,46082.6
436,218001,rr,0.9,5.0,7.1,48772.7,1202.5,1181.3,171618.6,1545.5,1561.2
437,218001,fcfs,0.9,12486.9,13743.6,0.9,12486.9,13743.6,12483.6,13742.7,15101.0
438,219001,rr,1.0,5.2,231.6,41248.5,773.4,836.7,151434.1,1142.9,1140.2
439,219001,fcfs,0.8,18432.1,20195.5,0.8,18432.1,20195.5,18429.2,20194.7,21624.4
440,220001,rr,1.4,5.6,8.2,30732.8,1260.2,1146.3,118778.0,1699.2,1524.2
441,220001,fcfs,1.0,31995.6,33464.6,1.0,31995.6,33464.6,31988.8,33463.0,35066.7
442,221001,rr,0.8,5.0,7.4,75377.5,935.3,926.8,249440.7,1264.3,1271.8
443,221001,fcfs,0.9,36749.7,38006.8,0.9,36749.7,38006.8,36746.9,38006.0,39672.6
444,222001,rr,0.9,4.4,6.6,52780.7,1375.7,1218.8,192959.5,1790.2,1640.4
445,222001,fcfs,0.8,18580.5,20425.6,0.8,18580.5,20425.6,18577.4,20424.6,22134.4
446,223001,rr,1.1,5.8,7.8,41224.9,1334.0,1346.2,155059.2,1709.2,1724.4
447,223001,fcfs,0.8,34602.2,35991.1,0.8,34602.2,35991.1,34598.6,35990.2,37606.5
448,224001,rr,1.2,5.4,7.6,39527.0,988.2,810.3,146302.1,1259.0,1250.0
449,224001,fcfs,0.7,25821.2,27151.5,0.7,25821.2,27151.5,25818.4,27149.6,28743.4
450,225001,rr,1.3,5.7,7.9,60050.6,723.4,1025.1,222255.6,975.2,1375.3
451,225001,fcfs,0.9,29637.3,30960.3,0.9,29637.3,30960.3,29629.9,30958.8,32338.1
452,226001,rr,1.0,5.0,7.4,44099.2,1019.4,1046.6,158921.9,1343.9,1354.9
453,226001,fcfs,1.0,27268.4,28889.1,1.0,27268.4,28889.1,27265.1,28888.2,30519.7
454,227001,rr,0.8,4.5,6.7,42377.9,828.6,777.1,162680.5,1086.4,1089.4
455,227001,fcfs,0.9,14779.2,20175.1,0.9,14779.2,20175.1,14770.6,20171.6,24938.7
456,228001,rr,0.7,4.0,6.3,72270.6,989.2,700.6,275457.5,1245.4,1157.3
457,228001,fcfs,0.8,39253.8,40879.4,0.8,39253.8,40879.4,39246.9,40878.4,42560.5
458,229001,rr,1.0,4.7,6.9,44697.8,1221.5,1202.2,158377.2,1568.7,1563.1
459,229001,fcfs,0.9,24188.7,25906.0,0.9,24188.7,25906.0,24185.5,25905.2,27443.9
460,230001,rr,1.2,5.8,8.1,35218.0,868.3,890.3,135810.1,1174.4,1161.3
461,230001,fcfs,0.7,35483.3,36800.4,0.7,35483.3,36800.4,35476.7,36799.1,37994.8
462,231001,rr,1.2,5.1,7.4,47096.7,866.5,881.7,167110.5,1152.1,1142.8
463,231001,fcfs,0.7,30356.7,31832.6,0.7,30356.7,31832.6,30350.0,31831.6,33514.6
464,232001,rr,1.0,4.5,6.7,48217.4,1093.4,1112.7,179927.9,1415.6,1424.6
465,232001,fcfs,0.8,42405.2,44048.3,0.8,42405.2,44048.3,42397.6,44047.0,46024.3
466,233001,rr,0.9,5.1,7.3,72810.3,847.1,865.0,250597.7,1135.8,1140.8
467,233001,fcfs,0.8,33596.6,34900.7,0.8,33596.6,34900.7,33589.4,34898.0,36581.7
468,234001,rr,1.0,6.6,8.8,77875.9,808.5,813.6,277610.9,1027.7,1036.1
469,234001,fcfs,0.8,28761.9,30189.7,0.8,28761.9,30189.7,28758.6,30188.8,31930.1
470,235001,rr,0.8,4.4,6.6,51071.0,889.8,886.2,187112.6,1148.9,1303.9
471,235001,fcfs,1.0,27488.0,28828.8,1.0,27488.0,28828.8,27482.5,28828.0,30234.3
472,236001,rr,1.2,6.2,8.7,36436.8,934.9,889.4,134840.5,1270.2,1164.9
473,236001,fcfs,0.8,25424.0,26950.4,0.8,25424.0,26950.4,25420.9,26949.6,28833.8
474,237001,rr,1.0,5.6,7.6,44224.5,940.2,891.9,167509.6,1214.1,1205.1
475,237001,fcfs,0.9,36433.2,38018.6,0.9,36433.2,38018.6,36425.5,38017.5,39759.9
476,238001,rr,0.9,4.3,6.5,43563.0,992.3,802.1,165435.6,1240.9,1094.8
477,238001,fcfs,1.0,23032.2,24635.9,1.0,23032.2,24635.9,23029.3,24635.0,26261.3
478,239001,rr,1.4,6.0,8.3,48269.5,1032.9,871.2,178085.2,1296.5,1294.5
479,239001,fcfs,0.8,25533.0,27269.4,0.8,25533.0,27269.4,25526.0,27268.4,28646.2
480,240001,rr,1.1,5.6,7.8,71532.2,822.0,850.7,252654.2,1127.5,1125.4
481,240001,fcfs,0.8,21264.5,22934.9,0.8,21264.5,22934.9,21261.3,22933.8,24596.5
482,241001,rr,0.8,4.4,6.6,51947.6,769.6,880.1,193935.6,1024.8,1145.7
483,241001,fcfs,1.3,28575.9,30456.3,1.3,28575.9,30456.3,28568.4,30455.2,31983.1
484,242001,rr,1.0,4.8,7.1,51722.0,855.7,875.7,190405.7,1114.1,1138.9
485,242001,fcfs,0.7,31479.5,32861.6,0.7,31479.5,32861.6,31476.3,32860.5,34483.9
486,243001,rr,1.4,5.7,7.9,8637.3,62797.0,43304.4,20443.6,77294.9,77300.5
487,243001,fcfs,0.8,27482.7,29460.3,0.8,27482.7,29460.3,27479.5,29459.4,31051.3
488,244001,rr,1.3,5.7,7.9,72168.3,1304.5,1200.2,261572.4,1800.4,1647.4
489,244001,fcfs,1.0,31301.6,32865.0,1.0,31301.6,32865.0,31292.4,32862.7,34078.0
490,245001,rr,0.9,4.3,6.5,36797.5,739.4,820.2,140547.8,1028.0,1036.0
491,245001,fcfs,0.7,36798.1,38207.2,0.7,36798.1,38207.2,36790.1,38206.1,40069.5
492,246001,rr,1.0,5.1,7.2,42990.4,743.1,817.2,162963.9,1040.8,1105.4
493,246001,fcfs,0.8,28171.5,29187.1,0.8,28171.5,29187.1,28168.6,29186.3,30356.0
494,247001,rr,1.0,5.1,7.2,56694.9,871.0,927.5,209258.6,1213.1,1215.3
495,247001,fcfs,1.1,33981.2,35358.5,1.1,33981.2,35358.5,33978.2,35357.7,36670.5
496,248001,rr,0.9,4.6,6.8,53066.0,830.8,839.9,200431.7,1172.5,1176.7
497,248001,fcfs,0.8,34562.3,36489.4,0.8,34562.3,36489.4,34553.3,36487.2,37857.7
498,249001,rr,0.8,4.4,6.6,83387.1,745.7,835.0,303368.1,987.2,1108.1
499,249001,fcfs,0.8,31353.5,32812.7,0.8,31353.5,32812.7,31350.2,32799.3,34527.9
500,250001,rr,1.0,5.3,7.3,52404.1,839.1,803.2,188214.1,1087.2,1098.3
501,250001,fcfs,0.8,24175.8,25480.5,0.8,24175.8,25480.5,24172.4,25479.6,26938.0
502,251001,rr,1.1,5.4,7.8,60487.2,1210.5,1186.1,215690.2,1540.5,1544.3
503,251001,fcfs,0.8,19953.3,21144.2,0.8,19953.3,21144.2,19950.3,21143.3,22517.0
504,252001,rr,1.0,4.8,7.0,90295.0,884.6,988.5,324484.0,1182.2,1313.5
505,252001,fcfs,0.8,48634.3,50350.8,0.8,48634.3,50350.8,48627.3,50349.5,52349.0
506,253001,rr,1.0,5.3,7.4,69551.6,9682.8,9340.2,218284.6,12524.4,11588.6
507,253001,fcfs,0.8,34622.4,36390.9,0.8,34622.4,36390.9,34615.2,36389.6,38147.8
508,254001,rr,0.8,4.2,6.4,40462.3,777.6,826.2,157341.4,1081.4,1085.5
509,254001,fcfs,0.9,27055.4,28922.9,0.9,27055.4,28922.9,27052.1,28922.0,30773.4
510,255001,rr,0.8,4.2,6.5,74124.8,889.3,1104.4,253587.5,1214.1,1464.8
511,255001,fcfs,1.1,32811.7,34409.3,1.1,32811.7,34409.3,32804.0,34408.0,36215.9
512,256001,rr,0.8,4.3,6.5,74623.4,928.1,878.9,259733.3,1194.8,1202.8
513,256001,fcfs,0.8,28067.4,29447.7,0.8,28067.4,29447.7,28060.5,29446.6,31414.5
514,257001,rr,1.0,5.7,7.8,38638.7,865.3,865.6,140816.3,1174.5,1155.5
515,257001,fcfs,0.9,31526.6,33113.6,0.9,31526.6,33113.6,31523.2,33112.7,35063.2
516,258001,rr,1.2,5.2,7.2,31619.9,903.9,981.5,120449.7,1244.2,1251.6
517,258001,fcfs,0.9,35751.8,36976.0,0.9,35751.8,36976.0,35748.4,36973.8,38878.6
518,259001,rr,1.1,5.6,7.8,83872.2,1314.0,705.3,312810.5,1873.6,1145.8
519,259001,fcfs,1.1,24084.1,25840.7,1.1,24084.1,25840.7,24074.9,25839.9,27404.1
520,260001,rr,1.0,5.1,7.2,74898.7,4812.8,4840.6,249969.3,6239.7,6252.0
521,260001,fcfs,1.2,32999.1,34288.0,1.2,32999.1,34288.0,32990.6,34287.0,36162.5
522,261001,rr,1.2,5.5,7.7,59425.0,953.4,900.4,226890.4,1224.3,1217.3
523,261001,fcfs,1.0,29466.6,30787.7,1.0,29466.6,30787.7,29463.8,30786.8,32752.6
524,262001,rr,1.1,6.0,8.3,63810.0,735.1,782.0,220515.7,1008.3,999.4
525,262001,fcfs,0.8,31660.5,32916.3,0.8,31660.5,32916.3,31650.0,32914.8,34242.0
526,263001,rr,0.9,4.9,7.2,61826.1,890.9,923.6,221104.4,1195.0,1192.5
527,263001,fcfs,0.8,29405.6,30681.1,0.8,29405.6,30681.1,29396.7,30680.0,32396.2
528,264001,rr,0.9,4.3,6.6,32823.2,688.7,758.1,127738.7,1050.4,1058.5
529,264001,fcfs,1.4,44556.9,45956.3,1.4,44556.9,45956.3,44549.1,45955.0,47262.6
530,265001,rr,1.0,5.1,7.3,66181.8,1496.0,1623.3,238843.4,2070.9,2067.4
531,265001,fcfs,1.1,26915.8,28324.3,1.1,26915.8,28324.3,26907.6,28323.1,30013.7
532,266001,rr,1.2,6.6,8.9,73974.7,780.7,1092.1,262340.4,1384.5,1391.8
533,266001,fcfs,0.8,41459.3,42889.6,0.8,41459.3,42889.6,41451.2,42888.6,44529.3
534,267001,rr,0.6,4.0,6.2,57960.8,671.3,751.8,198469.9,928.6,1073.1
535,267001,fcfs,0.9,30295.5,31957.7,0.9,30295.5,31957.7,30288.7,31956.6,33632.2
536,268001,rr,0.8,4.1,6.3,72660.3,997.6,866.7,271962.0,1304.7,1152.2
537,268001,fcfs,1.2,29769.2,31060.4,1.2,29769.2,31060.4,29762.2,31059.1,32631.0
538,269001,rr,0.9,5.3,7.6,47735.0,978.0,961.6,175287.7,1280.5,1278.1
539,269001,fcfs,0.9,33628.3,35346.4,0.9,33628.3,35346.4,33621.8,35345.3,36927.2
540,270001,rr,1.7,6.0,8.2,86877.3,1122.0,1257.6,303808.9,1627.7,1629.0
541,270001,fcfs,0.8,33915.7,35460.5,0.8,33915.7,35460.5,33908.2,35458.7,36752.1
542,271001,rr,1.1,5.9,8.1,54624.4,749.5,1417.4,186387.1,1062.5,1993.1
543,271001,fcfs,0.9,18916.1,20743.8,0.9,18916.1,20743.8,18912.5,20742.8,22342.1
