,n,scheduler,st_1,st_2,st_3,wt_1,wt_2,wt_3,tat_1,tat_2,tat_3
54,27001,rr,0.8,4.1,6.3,4394.8,837.4,885.4,19333.5,1037.4,1197.2
55,27001,fcfs,0.7,2852.0,3906.5,0.7,2852.0,3906.5,2849.0,3905.6,5401.9
56,28001,rr,1.5,5.9,8.2,11756.0,1149.1,1234.9,45250.1,1611.2,1609.0
57,28001,fcfs,0.9,4191.6,5581.6,0.9,4191.6,5581.6,4184.2,5580.1,6698.1
58,29001,rr,1.3,5.7,7.8,4164.7,923.0,909.5,19306.9,1230.7,1152.4
59,29001,fcfs,0.9,2997.6,4308.3,0.9,2997.6,4308.3,2994.7,4307.4,5808.9
60,30001,rr,0.9,4.4,6.7,26610.5,944.8,928.8,86769.0,1202.9,1330.9
61,30001,fcfs,0.7,4198.4,5532.6,0.7,4198.4,5532.6,4195.6,5531.5,7074.8
62,31001,rr,1.0,4.7,6.7,10470.9,1152.3,1094.1,36355.8,1476.2,1517.9
63,31001,fcfs,0.8,4522.9,6019.1,0.8,4522.9,6019.1,4519.9,6018.1,7417.4
64,32001,rr,0.8,4.7,6.7,14051.1,836.2,837.6,53178.7,1126.6,1145.1
65,32001,fcfs,0.8,5314.0,6499.6,0.8,5314.0,6499.6,5311.2,6498.8,8334.7
66,33001,rr,1.1,5.2,7.5,28095.3,3368.3,3400.8,89606.2,4434.3,4401.2
67,33001,fcfs,0.9,5406.5,6466.0,0.9,5406.5,6466.0,5402.8,6465.2,8321.6
68,34001,rr,1.2,5.6,7.8,18467.2,1236.9,1185.3,69553.6,1680.7,1527.1
69,34001,fcfs,0.9,4666.9,5835.6,0.9,4666.9,5835.6,4664.0,5834.6,7652.8
70,35001,rr,0.8,4.1,6.3,6060.6,949.5,893.6,25033.6,1291.1,1187.5
71,35001,fcfs,1.1,3571.9,5021.6,1.1,3571.9,5021.6,3565.9,5020.3,6335.9
72,36001,rr,1.2,4.6,6.8,13498.8,891.7,811.5,54019.7,1148.3,1113.6
73,36001,fcfs,1.1,4688.4,6201.5,1.1,4688.4,6201.5,4685.8,6200.7,7799.3
74,37001,rr,0.9,4.3,6.5,14046.2,714.9,778.0,52037.9,1010.5,1006.0
75,37001,fcfs,1.1,4470.4,5456.0,1.1,4470.4,5456.0,4467.6,5455.1,6724.7
76,38001,rr,1.0,4.5,6.7,19422.0,1339.2,1282.6,66061.5,1885.7,1753.7
77,38001,fcfs,0.8,16043.9,17415.5,0.8,16043.9,17415.5,16040.8,17414.8,19185.1
78,39001,rr,0.9,4.7,7.0,18797.5,885.1,722.2,66177.1,1161.3,1022.6
79,39001,fcfs,1.4,4964.9,6203.6,1.4,4964.9,6203.6,4962.0,6202.8,7545.6
80,40001,rr,1.2,5.6,7.8,20407.0,807.6,854.1,72314.3,1032.5,1132.7
81,40001,fcfs,1.1,6000.2,7718.7,1.1,6000.2,7718.7,5994.0,7716.8,9153.1
82,41001,rr,0.8,4.3,6.4,10352.7,1285.7,1072.4,40212.5,1799.8,1353.8
83,41001,fcfs,0.7,5325.3,6602.2,0.7,5325.3,6602.2,5322.5,6601.3,8094.2
84,42001,rr,0.9,4.3,6.5,13708.2,793.4,736.3,51369.4,1043.4,1209.8
85,42001,fcfs,0.8,4500.3,6010.1,0.8,4500.3,6010.1,4497.5,6009.3,7725.3
86,43001,rr,1.0,6.3,8.3,25664.6,1634.5,923.8,84675.2,2314.8,1280.0
87,43001,fcfs,0.8,5837.4,7021.5,0.8,5837.4,7021.5,5834.7,7020.7,8637.6
88,44001,rr,1.0,19.1,21.7,13165.4,846.8,975.4,49600.2,1194.6,1226.2
89,44001,fcfs,1.0,5521.2,6706.1,1.0,5521.2,6706.1,5518.2,6705.3,8633.9
